feature,target_bbf_within_5min,samples,mean,std,min,max,missing_rate
relative_time_s,0,5,-450.0,260.096136072799,-900.0,0.0,0.0
relative_time_s,1,6,-450.0,260.096136072799,-900.0,0.0,0.0
Bz,0,5,3.219225564397268,1.1063974169831754,0.51983642578125,7.466274738311768,0.0
Bz,1,6,3.1252018970196507,0.8564532049556663,-3.354921340942383,7.466274738311768,0.0
abs_Bz,0,5,3.219225564397268,1.1063974169831754,0.51983642578125,7.466274738311768,0.0
abs_Bz,1,6,3.1285080903651115,0.8442962264123287,0.01880350522696972,7.466274738311768,0.0
dBz_dt,0,5,0.0014215375031122364,0.19848614536960804,-2.414508104324341,3.0972952842712402,0.0
dBz_dt,1,6,-0.0016270786287112121,0.21812546313605682,-4.641330242156982,3.8027994632720947,0.0
Bz_delta_60s,0,5,0.01936837556078352,1.4133490863609068,-3.540471315383911,6.926809787750244,0.0
Bz_delta_60s,1,6,-0.041254140767418714,1.0609163134019128,-8.621041297912598,6.926809787750244,0.0
Bz_rolling_std_60s,0,5,0.4214994113518134,0.47227070305159546,0.0,2.399240016937256,0.0
Bz_rolling_std_60s,1,6,0.28716261591314385,0.48304665370317396,0.0,2.377441883087158,0.0
Bz_sign_change_rate_60s,0,5,0.0,0.0,0.0,0.0,0.0
Bz_sign_change_rate_60s,1,6,0.0018497966043857835,0.009647589301715779,0.0,0.0833333358168602,0.0
fce_hz,0,5,340.0929832907284,119.32499539999493,108.11399841308594,525.2659912109375,0.0
fce_hz,1,6,223.58923470740226,70.86619276602323,20.55445671081543,446.2003479003906,0.0
whistler_band_power,0,5,160.83035732188844,33.51883252453848,70.69212341308594,779.3722534179688,0.0
whistler_band_power,1,6,142.01065698312618,21.988135909086793,0.0010820330353453755,513.4655151367188,0.0
wave_total_power_10_4000hz,0,5,266.5087920499033,117.01595589606583,159.5872039794922,2035.996337890625,0.0
wave_total_power_10_4000hz,1,6,243.2322704217807,73.92723632918889,160.95240783691406,1296.2587890625,0.0
whistler_ratio,0,5,0.6645511238807843,0.10710563763718454,0.2554166615009308,0.8089960813522339,0.0
whistler_ratio,1,6,0.6134819095635415,0.08750616949011907,5.018576757720439e-06,0.7924096584320068,0.0
whistler_activity_score,0,5,1.0056826337865998,1.6544338161729364,-3.8943917751312256,9.83671760559082,0.0
whistler_activity_score,1,6,0.02021776159513429,1.094228879078081,-8.3846435546875,9.072940826416016,0.0
wave_power_delta_60s,0,5,-2.3562878776403697,30.45407694712549,-631.7918701171875,581.2984619140625,0.0
wave_power_delta_60s,1,6,-0.9078551507213842,27.35744798675924,-411.1553039550781,367.4704284667969,0.0
wave_power_increase_rate_60s,0,5,-0.039271465444794706,0.5075679473918049,-10.529864311218262,9.688307762145996,0.0
wave_power_increase_rate_60s,1,6,-0.015130919448505153,0.4559574669156667,-6.852588653564453,6.124507427215576,0.0
wave_power_rolling_mean_60s,0,5,162.03183114986442,28.917127022122816,106.03794860839844,202.8812255859375,0.0
wave_power_rolling_mean_60s,1,6,142.40250126608998,12.034984123280863,75.39645385742188,167.4361114501953,0.0
wave_power_rolling_max_60s,0,5,192.5600005222875,72.43977412947808,141.0235595703125,779.3722534179688,0.0
wave_power_rolling_max_60s,1,6,167.93270032334408,63.72116817184282,134.9814453125,513.4655151367188,0.0
wave_power_rolling_var_60s,0,5,320.7226933033213,1000.2601165946471,0.0,8908.748046875,0.0
wave_power_rolling_var_60s,1,6,306.0653503437601,961.8344959915286,0.0,7688.3056640625,0.0
whistler_feature_observed,0,5,0.8336861175913922,0.2706067047425565,0.0,1.0,0.0
whistler_feature_observed,1,6,0.9133868019557908,0.20926789271438972,0.0,1.0,0.0
